,stock_id,stock_name,industry_category,list_type,list_date
3743,3152,璟德,通信網路業,tpex,2025-09-30
3744,3158,嘉實,資訊服務業,emerging,2025-09-30
3745,3162,精確,電機機械,tpex,2025-09-30
3746,3163,波若威,通信網路業,tpex,2025-09-30
3763,3164,景岳,生技醫療業,twse,2025-09-30
3777,3167,大量,電機機械,twse,2025-09-30
3779,3168,眾福科,電子工業,twse,2025-09-30
3808,3169,亞信,半導體業,tpex,2025-09-30
3809,3171,炎洲流通,居家生活類,tpex,2025-09-30
3810,3176,基亞,生技醫療業,tpex,2025-09-30
3811,3178,公準,半導體業,tpex,2025-09-30
3812,3184,微邦,生技醫療業,emerging,2025-09-30
3813,3188,鑫龍騰,建材營造,tpex,2025-09-30
3815,3189,景碩,電子工業,twse,2025-09-30
3816,3191,雲嘉南,電子零組件業,tpex,2025-09-30
638,3202,樺晟,電子零組件業,tpex,2025-04-05
3817,3205,佰研,生技醫療業,tpex,2025-09-30
3818,3206,志豐,電子零組件業,tpex,2025-09-30
3820,3207,耀勝,電子零組件業,tpex,2025-09-30
3832,3209,全科,電子工業,twse,2025-09-30
3822,3211,順達,電腦及週邊設備業,tpex,2025-09-30
3823,3213,茂訊,電腦及週邊設備業,tpex,2025-09-30
482,3214,元砷,電子工業,twse,2024-12-04
3824,3217,優群,電子零組件業,tpex,2025-09-30
3825,3218,大學光,生技醫療業,tpex,2025-09-30
3826,3219,倚強科,其他電子類,tpex,2025-09-30
3827,3221,台嘉碩,通信網路業,tpex,2025-09-30
3828,3224,三顧,電子通路業,tpex,2025-09-30
3829,3226,龍鋒,電機機械,tpex,2025-09-30
3830,3227,原相,半導體業,tpex,2025-09-30
3831,3228,金麗科,半導體業,tpex,2025-09-30
3819,3229,晟鈦,電子零組件業,twse,2025-09-30
3806,3230,錦明,光電業,tpex,2025-09-30
3791,3231,緯創,電子工業,twse,2025-09-30
3781,3232,昱捷,電子通路業,tpex,2025-09-30
3782,3234,光環,通信網路業,tpex,2025-09-30
3783,3236,千如,電子零組件業,tpex,2025-09-30
3784,3252,海灣,觀光餐旅,tpex,2025-09-30
3786,3257,虹冠電,電子工業,twse,2025-09-30
3787,3259,鑫創,半導體業,tpex,2025-09-30
3788,3260,威剛,半導體業,tpex,2025-09-30
3789,3264,欣銓,半導體業,tpex,2025-09-30
3790,3265,台星科,半導體業,tpex,2025-09-30
3792,3266,昇陽,建材營造,twse,2025-09-30
3804,3268,海德威,半導體業,tpex,2025-09-30
505,3271,其樂達,電子工業,twse,2024-12-04
3793,3272,東碩,電腦及週邊設備業,tpex,2025-09-30
3794,3276,宇環,電子零組件業,tpex,2025-09-30
3795,3284,太普高,其他,tpex,2025-09-30
3796,3285,微端,其他電子類,tpex,2025-09-30
3797,3287,廣寰科,電腦及週邊設備業,tpex,2025-09-30
3798,3288,點晶,電子零組件業,tpex,2025-09-30
3799,3289,宜特,其他電子類,tpex,2025-09-30
3800,3290,東浦,電子零組件業,tpex,2025-09-30
3801,3293,鈊象,文化創意業,tpex,2025-09-30
3802,3294,英濟,電子零組件業,tpex,2025-09-30
3803,3296,勝德,電子工業,twse,2025-09-30
3569,3297,杭特,光電業,tpex,2025-09-30
3502,3303,岱稜,其他電子類,tpex,2025-09-30
3474,3305,昇貿,其他電子業,twse,2025-09-30
3202,3306,鼎天,通信網路業,tpex,2025-09-30
3204,3308,聯德,電子零組件業,twse,2025-09-30
3205,3310,佳穎,電子零組件業,tpex,2025-09-30
3207,3311,閎暉,電子工業,twse,2025-09-30
3209,3312,弘憶股,電子通路業,twse,2025-09-30
3210,3313,斐成,其他,tpex,2025-09-30
654,3315,宣昶,電子通路業,twse,2025-05-28
3211,3317,尼克森,半導體業,tpex,2025-09-30
3225,3321,同泰,電子零組件業,twse,2025-09-30
3503,3322,建舜電,電子零組件業,tpex,2025-09-30
3215,3323,加百裕,電腦及週邊設備業,tpex,2025-09-30
3216,3324,雙鴻,其他電子類,tpex,2025-09-30
3217,3325,旭品,電腦及週邊設備業,tpex,2025-09-30
3218,3332,幸康,電子零組件業,tpex,2025-09-30
3220,3338,泰碩,電子零組件業,twse,2025-09-30
3221,3339,泰谷,光電業,tpex,2025-09-30
3222,3346,麗清,汽車工業,twse,2025-09-30
3223,3349,寶德,電腦及週邊設備業,tpex,2025-09-30
